,negative,positive
watched,908,885
everything,942,884
believe,1150,877
amazing,200,871
anything,1463,868
high,839,867
looking,1117,858
top,621,854
house,785,850
seem,925,845
definitely,416,836
main,947,834
guy,1481,830
night,845,828
full,626,824
home,655,820
gives,424,819
recommend,529,817
men,647,816
truly,566,815
special,853,814
audience,898,808
episode,452,804
along,606,802
human,474,800
fan,684,799
small,518,798
second,751,796
remember,592,795
sense,1039,794
help,716,791
trying,1207,790
short,661,786
until,641,784
said,991,781
friends,627,781
left,911,779
black,806,777
hollywood,646,776
mind,782,772
script,1651,768
often,522,766
favorite,218,765
death,717,764
moments,561,757
early,500,752
liked,475,750
maybe,1108,749
less,841,743
brilliant,216,742
used,791,738
live,479,736
become,501,731
heart,287,728
looks,1236,727
shot,889,725
read,864,725
enjoyed,291,723
others,514,722
lives,392,719
came,610,715
stars,623,713
style,554,708
perhaps,619,706
next,678,703
highly,222,701
use,750,700
simply,889,697
given,775,696
playing,614,695
need,762,690
cinema,439,688
fine,367,688
entertaining,457,687
effects,1033,683
face,656,683
drama,421,683
someone,1137,682
works,337,677
against,521,674
certainly,505,664
overall,473,664
minutes,1683,662
couple,702,662
kids,747,658
finally,552,658
keep,618,657
throughout,442,653
wasn't,1195,652
you're,894,652
picture,496,651
history,394,647
line,778,644
written,643,644
lost,592,642
reason,1183,641
mr,474,640
dark,432,640
based,500,637
understand,672,634
boy,506,633
several,523,629
try,825,627
mother,481,626
friend,451,625
women,723,624
strong,270,624
michael,395,623
fans,496,621
rest,834,620
start,741,619
son,423,619
white,563,618
else,927,616
school,697,616
production,796,612
2,1187,611
hope,536,610
children,444,609
dead,809,608
tell,756,608
game,406,605
city,318,604
past,415,601
able,439,600
art,422,600
itself,639,596
half,1074,590
completely,920,588
genre,381,588
becomes,529,585
humor,446,584
getting,733,583
,475,583
late,386,582
sometimes,366,582
idea,1044,581
final,466,581
camera,832,579
beginning,507,579
today,185,575
instead,1186,574
case,657,574
despite,500,574
person,664,572
let,733,571
side,430,571
yes,623,570
stories,395,569
town,395,565
video,792,562
soon,421,562
either,954,558
under,541,558
age,329,556
she's,603,553
money,1299,552
name,718,552
doing,730,551
roles,328,551
simple,240,546
close,490,545
days,442,545
felt,653,543
child,445,541
viewer,423,541
turns,486,538
wrong,909,537
turn,563,534
wants,505,530
title,652,529
eyes,466,528
piece,724,527
you'll,477,527
fantastic,114,525
went,636,523
experience,325,520
relationship,255,519
episodes,209,519
evil,599,517
budget,929,516
sort,656,515
parts,428,514
behind,520,512
absolutely,686,510
james,313,510
sex,857,509
head,724,507
called,643,507
direction,567,507
already,623,505
musical,268,503
oscar,173,502
lead,553,499
chance,360,499
feeling,428,498
moment,407,498
hit,378,498
directed,456,497
quality,553,495
living,373,495
low,946,494
told,370,494
supporting,242,494
gave,494,493
known,361,493
won't,485,492
themselves,439,491
voice,423,490
lines,732,489
including,339,486
score,309,486
example,556,482
expect,462,482
actress,443,482
moving,206,482
matter,414,480
documentary,299,479
hilarious,282,479
future,241,479
dialogue,728,478
ago,325,477
entire,683,476
i'd,589,475
type,443,475
particularly,401,475
whose,332,475
song,330,474
hand,511,473
murder,340,472
cinematography,322,471
released,311,471
enjoyable,214,471
brother,346,469
reality,295,466
paul,235,465
light,295,464
romantic,221,464
mean,880,462
david,286,461
robert,291,459
took,432,458
jack,248,458
happy,284,457
finds,283,457
3,763,453
laugh,600,453
coming,410,453
sound,585,452
fight,433,452
shown,354,451
leave,436,450
starts,543,448
police,418,448
animation,217,448
comic,298,447
self,486,446
modern,281,446
somewhat,315,444
heard,462,443
important,287,443
events,285,443
film's,391,442
number,337,442
tale,196,442
greatest,154,442
view,306,441
tells,266,441
superb,79,441
english,349,439
change,337,439
easy,216,439
wanted,617,436
act,579,436
opinion,329,432
songs,291,432
care,653,431
realistic,187,431
run,517,430
etc,514,429
usual,343,429
miss,280,428
totally,625,427
season,171,427
violence,442,424
career,362,423
power,337,423
husband,299,423
extremely,436,420
british,290,420
knows,311,417
television,299,416
daughter,412,411
ones,349,411
alone,417,409
involved,451,408
seemed,698,407
writing,621,405
country,290,404
says,453,403
wish,375,403
similar,297,403
french,217,401
attention,321,400
guys,604,399
girls,508,399
killer,695,396
stuff,529,396
george,280,396
problem,763,395
across,393,395
begins,240,395
car,576,393
exactly,406,393
kill,578,392
sad,386,392
novel,334,392
thriller,251,392
atmosphere,186,392
taking,358,391
perfectly,119,391
myself,527,390
opening,395,389
beauty,133,389
cool,374,388
herself,253,388
famous,239,387
order,337,386
due,334,386
four,328,386
york,233,386
ends,406,385
ways,246,385
tries,611,384
serious,382,384
surprised,239,384
memorable,162,384
stop,495,382
class,314,382
sets,292,382
release,274,382
they're,616,381
slow,503,381
cannot,478,381
theme,267,381
team,259,381
powerful,103,380
sequence,321,379
within,316,379
eye,283,379
room,364,378
bring,332,378
happen,450,377
among,237,377
brought,209,377
taken,384,376
unique,126,376
couldn't,833,375
interest,434,375
mostly,390,375
working,275,375
viewing,221,375
kid,493,374
happened,485,374
strange,359,374
sister,256,372
level,396,371
entertainment,318,370
crime,238,370
king,313,369
certain,241,369
believable,210,369
5,489,368
usually,440,367
needs,324,367
nature,197,367
hero,415,366
easily,331,366
thinking,556,365
local,341,363
follow,262,363
knew,337,362
particular,220,362
meets,170,362
dance,226,360
rock,281,359
richard,278,359
soundtrack,246,359
1,712,358
form,246,358
group,452,357
above,302,357
viewers,267,357
major,382,356
haven't,293,356
emotional,165,356
anyway,480,355
feature,285,355
red,260,355
upon,323,354
obviously,597,353
killed,546,353
mystery,282,353
de,218,353
stand,300,352
possible,447,351
yourself,452,350
whether,338,350
showing,276,350
personal,169,349
happens,498,348
giving,347,348
period,270,347
masterpiece,129,347
message,297,346
parents,233,346
b,516,345
problems,341,345
incredible,121,345
guess,714,344
middle,399,344
words,350,343
elements,275,343
huge,410,342
typical,279,342
stage,228,341
brings,167,341
deal,242,340
society,164,340
near,326,339
lady,294,339
blood,593,338
fast,368,337
7,167,337
unfortunately,739,336
poor,1161,335
flick,635,335
peter,252,335
romance,202,335
deep,191,335
hours,453,334
named,275,334
indeed,242,332
hour,634,330
started,426,330
clearly,386,330
feels,327,330
running,468,329
talent,401,328
tom,222,328
jane,149,328
turned,421,327
earth,377,327
leads,268,327
william,155,324
god,549,323
body,459,323
clear,316,322
except,570,321
female,431,321
filmed,303,321
disney,221,321
keeps,200,321
cut,526,320
shots,454,319
meet,226,319
dream,190,319
five,404,318
subject,252,318
talking,459,317
nearly,321,317
lots,305,317
match,157,317
sweet,124,317
truth,244,316
plenty,203,316
surprise,250,315
8,164,315
beyond,395,314
appears,365,314
buy,302,314
older,219,314
present,176,314
fall,303,313
became,237,313
japanese,227,313
era,172,313
i'll,456,312
difficult,240,312
obvious,524,311
means,276,311
writer,356,309
earlier,224,309
situation,223,309
beautifully,54,309
wonder,506,308
general,293,308
dramatic,224,308
battle,202,308
comments,312,307
business,192,307
fantasy,166,307
points,319,306
eventually,258,306
unlike,152,306
hear,299,305
ten,375,304
talk,370,304
actual,352,304
check,312,304
doubt,303,304
learn,248,304
sexual,277,302
who's,251,302
none,541,300
non,433,300
leaves,248,300
scary,465,299
single,439,299
figure,318,299
street,236,299
solid,114,298
joe,238,296
america,201,296
recently,171,296
wouldn't,566,295
lack,570,294
complete,502,294
gone,307,293
forget,279,293
sequences,257,293
re,319,292
success,178,292
suspense,270,291
sees,137,291
word,439,290
falls,382,290
third,271,290
call,465,289
using,336,289
political,180,289
portrayal,108,289
recommended,86,289
terrific,64,289
4,544,288
animated,136,288
jokes,480,287
oh,817,286
dog,261,285
s,225,285
move,293,284
return,193,284
married,184,284
hell,505,283
whom,221,283
bill,193,283
touching,59,283
please,549,282
dr,277,282
mark,221,282
portrayed,195,282
leading,220,281
decent,636,280
basically,452,280
straight,390,280
add,347,280
you've,292,280
interested,231,279
rare,84,279
aren't,429,278
space,305,276
lee,291,276
setting,213,276
popular,176,276
caught,173,276
moves,149,276
charming,105,276
awesome,101,276
disappointed,448,275
note,221,275
features,226,274
mention,389,273
theater,349,272
acted,256,272
boys,189,272
social,167,272
material,322,271
effective,137,271
storyline,359,269
background,224,269
rich,193,269
various,192,269
created,185,269
boring,1130,268
western,199,268
cold,178,268
wait,303,267
towards,227,267
inside,221,267
adventure,110,267
attempt,596,266
looked,533,266
appreciate,139,266
reading,303,265
deserves,208,265
subtle,77,265
creepy,240,264
uses,171,264
adult,146,264
outstanding,57,264
supposed,955,263
imagine,316,263
rate,252,263
manages,199,263
mary,169,263
won,124,263
journey,77,263
realize,279,262
secret,234,262
impressive,136,261
male,290,260
baby,265,260
previous,244,260
die,371,259
open,259,259
screenplay,249,259
pace,185,259
stewart,60,259
hate,352,258
somehow,341,258
apart,249,258
fi,228,258
effect,239,257
sci,231,257
copy,195,257
successful,168,257
intelligent,165,257
smith,110,257
question,272,256
directors,263,256
quickly,258,256
brothers,140,256
seriously,544,255
kept,330,255
create,235,255
escape,176,255
century,150,255
noir,60,255
review,411,254
familiar,167,254
expected,306,253
telling,239,253
visual,168,253
jim,119,253
tony,87,253
saying,490,252
minute,380,252
pure,196,252
natural,106,251
hot,291,250
members,195,250
spirit,166,250
magic,117,250
themes,92,250
surprisingly,116,249
stunning,68,249
ok,537,248
plus,277,248
crazy,256,248
dreams,117,248
stay,369,247
complex,93,247
reviews,330,246
average,328,246
office,199,246
exciting,173,246
younger,163,245
what's,371,244
break,236,244
outside,218,244
language,164,244
recent,163,244
scott,190,243
begin,308,242
talented,229,242
singing,143,242
lovely,103,242
gem,56,242
air,269,241
hands,251,241
edge,122,241
wonderfully,25,241
casting,241,240
hold,210,240
:,159,240
images,133,240
silly,468,239
admit,255,239
sequel,416,238
laughs,283,238
follows,145,238
thanks,130,238
emotions,66,238
worked,267,237
further,224,237
tone,156,237
gore,567,236
co,235,236
odd,222,236
large,213,236
following,197,236
italian,181,236
band,177,236
comment,280,235
fire,252,235
missed,214,235
filled,195,235
rating,366,234
needed,313,234
cute,227,234
focus,170,234
dancing,160,234
chemistry,149,234
fascinating,78,234
free,313,233
nor,311,233
front,254,233
fear,180,233
frank,115,233
directing,292,232
fighting,234,232
fairly,229,232
touch,135,232
knowing,133,232
genius,108,232
water,208,231
la,180,231
kelly,72,231
footage,307,230
choice,186,230
law,173,230
german,166,230
decided,329,229
'the,195,229
south,127,229
award,113,229
dialog,389,228
slightly,192,228
appear,262,227
party,194,227
9,158,227
christmas,260,226
e,239,226
convincing,214,226
prison,167,226
win,152,226
fully,123,226
possibly,357,225
ben,221,225
agree,214,225
feelings,86,225
box,294,224
reasons,220,224
remains,146,224
harry,103,224
apparently,524,223
weird,296,223
culture,164,223
u,161,223
silent,145,223
20,271,222
missing,254,222
doctor,239,222
public,216,222
clever,196,222
available,93,222
editing,384,221
former,180,221
detective,136,221
pictures,131,221
sit,353,220
shame,317,220
ultimately,207,220
forward,297,219
mentioned,230,219
entirely,225,219
died,192,219
showed,166,219
starring,164,219
glad,134,219
paris,80,219
expecting,250,218
decides,218,218
company,175,218
studio,148,218
stupid,1122,217
forced,314,217
violent,187,217
fit,186,217
tough,155,217
save,607,216
killing,364,216
sounds,288,216
waiting,235,216
trip,163,216
catch,147,216
meant,262,215
girlfriend,253,215
audiences,158,215
innocent,122,215
twists,119,215
ask,295,214
compelling,86,214
credits,302,213
produced,220,213
fiction,155,213
marriage,111,213
otherwise,328,212
control,193,212
cry,95,212
incredibly,304,211
consider,187,211
changed,174,211
winning,74,211
intense,71,211
result,281,210
crew,242,210
immediately,172,210
color,108,210
childhood,89,210
funniest,86,210
helps,76,210
tragic,72,210
whatever,342,209
comedies,139,209
stands,119,209
master,118,209
ride,106,209
development,319,208
tension,214,208
considered,182,208
post,176,208
humour,139,208
charm,119,208
charlie,106,208
science,223,207
trouble,217,207
depth,204,207
books,176,207
equally,128,207
loves,119,207
fresh,95,207
gorgeous,83,207
twist,266,206
list,255,206
respect,195,206
adaptation,149,206
sent,120,206
justice,119,206
tried,397,205
imdb,337,205
situations,189,205
steve,156,205
slowly,118,205
effort,430,204
villain,255,204
ended,246,204
compared,222,204
honest,166,204
normal,138,204
element,124,204
impact,94,204
tragedy,87,204
wild,141,203
runs,195,202
super,188,202
heavy,180,202
boss,116,202
favourite,64,202
worst,1983,201
pay,286,201
common,205,201
state,200,201
questions,187,201
critics,117,201
page,103,201
ideas,274,200
disturbing,186,200
thank,156,200
festival,121,200
bond,56,200
dad,172,199
terms,151,199
drawn,143,199
revenge,231,198
amusing,207,198
personally,143,198
key,136,198
central,129,198
relationships,97,198
impressed,86,198
provides,71,198
narrative,140,197
cat,215,196
credit,213,196
amount,213,196
arthur,81,196
10/10,15,196
hardly,301,195
mad,196,195
london,149,195
animals,132,195
rent,368,194
zombie,358,194
cartoon,231,194
soul,148,194
issues,141,194
details,125,194
let's,345,193
gay,290,193
laughing,230,193
likes,188,193
photography,132,193
meaning,187,192
longer,185,192
ex,180,192
date,163,192
presented,154,192
contains,134,192
minor,116,192
loving,71,192
tears,68,192
cop,281,191
basic,222,191
force,196,191
aspect,172,191
jean,82,191
apartment,78,191
delightful,29,191
mood,145,190
support,125,190
puts,116,190
delivers,94,190
considering,240,189
share,108,189
leaving,198,188
deeply,67,188
remarkable,52,188
terrible,1091,187
cheesy,313,187
week,167,187
detail,98,187
writers,318,186
attempts,276,186
involving,190,186
bought,188,186
pick,181,186
west,157,186
costumes,150,186
smart,147,186
born,124,186
henry,98,186
alive,182,185
places,145,185
adds,79,185
premise,388,184
wrote,269,184
added,171,184
numbers,150,184
building,123,184
predictable,492,183
planet,190,183
bruce,122,183
fellow,105,183
unusual,67,183
finest,36,183
historical,142,182
adults,135,182
likable,126,182
approach,111,182
potential,308,181
conclusion,181,181
constantly,156,181
charles,146,181
finding,107,181
nicely,71,181
danny,66,181
ghost,186,180
forever,131,180
friendship,39,180
worse,1002,179
impossible,212,179
thus,155,179
presence,150,179
step,120,179
inspired,98,179
rated,213,178
values,188,178
sexy,167,178
thoroughly,96,178
okay,383,177
ability,191,177
camp,184,177
motion,172,177
treat,79,177
bunch,464,176
weak,413,176
suddenly,248,176
speak,227,176
shooting,212,176
everybody,139,176
generally,200,175
road,154,175
mainly,137,175
aspects,123,175
summer,120,175
biggest,239,174
appearance,171,174
developed,150,174
held,139,174
hasn't,138,174
lose,105,174
manner,159,173
indian,136,173
offers,97,173
brian,93,173
moved,87,173
magnificent,36,173
island,261,172
we're,231,172
college,225,172
spot,124,172
prince,47,172
army,198,171
chris,147,171
hotel,122,171
cheap,549,170
aside,205,170
literally,203,170
6,202,170
fair,194,170
sam,172,170
lived,127,170
man's,123,170
ray,120,170
castle,78,170
write,361,169
filmmakers,258,169
value,250,169
cult,206,169
van,194,169
blue,180,169
christopher,147,169
wise,112,169
struggle,102,169
uncle,91,169
quiet,67,169
store,231,168
cause,211,168
t,209,168
bizarre,207,168
emotion,144,168
information,110,168
surprising,63,168
standard,192,167
government,145,167
seven,120,167
davis,65,167
sadly,288,166
concept,247,166
hair,231,166
scenery,155,166
flaws,111,166
gun,263,165
track,158,165
green,158,165
moral,124,165
hidden,110,165
joy,70,165
ann,51,165
remake,291,164
cinematic,177,164
g,151,164
creative,127,164
latter,126,164
addition,116,164
games,90,164
pleasure,81,164
holds,74,164
today's,58,164
pieces,145,163
mysterious,139,163
taste,185,162
climax,163,162
image,138,162
brief,135,162
event,132,162
length,117,162
proves,115,162
becoming,112,162
fox,99,162
superior,89,162
academy,80,162
annoying,635,161
decide,220,161
drive,185,161
mix,139,161
ahead,134,161
professional,111,161
brilliantly,32,161
anti,239,160
pain,151,160
americans,128,160
al,127,160
include,123,160
andy,77,160
underrated,26,160
8/10,7,160
sick,231,159
opportunity,151,159
changes,140,159
batman,136,159
epic,97,159
chinese,94,159
lovers,72,159
kills,250,158
likely,175,158
falling,155,158
collection,112,158
system,110,158
necessary,94,158
sky,77,158
spend,246,157
movie's,184,157
murders,137,157
billy,122,157
allen,112,157
douglas,80,157
joan,77,157
witty,60,157
sorry,445,156
walk,251,156
appeal,194,156
surely,189,156
c,180,156
difference,147,156
producer,139,156
imagination,130,156
desire,99,156
grand,88,156
artist,83,156
total,344,155
managed,185,155
six,144,155
twice,138,155
j,132,155
alan,108,155
ring,99,155
rarely,95,155
marie,31,155
reminded,119,154
artistic,119,154
growing,84,154
unexpected,50,154
military,210,153
plan,187,153
opera,155,153
negative,143,153
williams,112,153
engaging,94,153
england,76,153
vhs,66,153
debut,56,153
church,156,152
led,113,152
jerry,106,152
helped,101,152
reminds,87,152
jr,85,152
15,236,151
gang,173,151
besides,171,151
double,164,151
suggest,157,151
content,150,151
land,130,151
lover,128,151
states,110,151
lord,108,151
queen,101,151
vision,97,151
accurate,85,151
dick,85,151
smile,84,151
paced,71,151
freedom,33,151
monster,365,150
cover,268,150
train,168,150
bar,156,150
serial,142,150
personality,111,150
teenage,110,150
captures,20,150
computer,245,149
search,106,149
comedic,88,149
eddie,83,149
rob,54,149
barbara,41,149
nancy,30,149
jackie,30,149
project,230,148
speaking,178,148
putting,145,148
race,136,148
martin,133,148
compare,117,148
actresses,110,148
criminal,102,148
memories,74,148
captured,67,148
ages,60,148
7/10,5,148
neither,272,147
loud,197,147
worthy,156,147
followed,149,147
began,112,147
asks,112,147
dirty,104,147
gene,60,147
spectacular,54,147
traditional,54,147
club,178,146
laughed,169,146
happening,161,146
acts,158,146
affair,127,146
accept,101,146
actions,100,146
players,80,146
80's,162,145
direct,145,145
notice,144,145
flying,134,145
faces,133,145
includes,104,145
physical,92,145
brutal,87,145
pre,85,145
refreshing,15,145
soldiers,188,144
r,141,144
stone,107,144
mixed,92,144
fu,74,144
versions,74,144
positive,246,143
door,206,143
chase,188,143
appeared,155,143
passion,95,143
keeping,83,143
realism,81,143
heaven,77,143
therefore,137,142
wall,136,142
cross,123,142
memory,103,142
creates,56,142
spent,289,141
sitting,226,141
expectations,178,141
forgotten,139,141
agent,135,141
johnny,85,141
understanding,78,141
albert,57,141
accent,235,140
victim,168,140
ms,140,140
soldier,114,140
ice,95,140
record,95,140
deals,67,140
broadway,65,140
haunting,37,140
30,264,139
impression,173,139
allowed,143,139
technical,110,139
met,96,139
ordinary,78,139
emotionally,65,139
kung,53,139
daniel,47,139
somewhere,246,138
offer,171,138
beat,139,138
location,139,138
listen,126,138
heroes,117,138
extra,113,138
70's,111,138
powers,111,138
commentary,108,138
capture,97,138
youth,80,138
driven,59,138
seasons,53,138
jimmy,52,138
warm,45,138
ridiculous,610,137
bed,171,137
hurt,164,137
finish,163,137
drug,160,137
ready,136,137
wars,109,137
independent,101,137
deserved,92,137
discovered,83,137
river,73,137
identity,65,137
strength,55,137
industry,150,136
standards,149,136
ground,143,136
member,139,136
seemingly,126,136
intriguing,105,136
originally,90,136
allows,56,136
attack,225,135
d,197,135
exception,185,135
hospital,155,135
area,128,135
station,124,135
trust,123,135
design,121,135
streets,71,135
visit,71,135
eric,69,135
jackson,65,135
contrast,40,135
sinatra,30,135
explain,214,134
boyfriend,180,134
dies,176,134
trailer,157,134
sight,124,134
willing,113,134
community,95,134
wind,94,134
creating,92,134
perspective,82,134
genuine,72,134
humanity,72,134
owner,60,134
victoria,12,134
flat,331,133
makers,254,133
weren't,253,133
thinks,215,133
martial,114,133
dangerous,100,133
private,93,133
taylor,90,133
japan,79,133
african,78,133
washington,74,133
ultimate,69,133
golden,64,133
anime,41,133
nominated,35,133
awful,1241,132
utterly,238,132
million,194,132
food,127,132
witch,114,132
featuring,102,132
process,101,132
discover,90,132
jeff,90,132
adam,86,132
regular,78,132
dealing,76,132
nevertheless,52,132
learns,45,132
pass,197,131
names,183,131
student,170,131
jones,159,131
park,143,131
legend,106,131
unknown,100,131
forces,89,131
radio,87,131
welles,26,131
nudity,325,130
filming,189,130
intended,176,130
afraid,162,130
extreme,131,130
limited,106,130
pilot,102,130
higher,98,130
remembered,77,130
visually,73,130
morgan,62,130
louis,52,130
powell,19,130
purpose,216,129
walking,215,129
merely,176,129
mom,148,129
pull,137,129
machine,135,129
fashion,135,129
accident,125,129
tim,123,129
provide,118,129
pop,118,129
scared,114,129
wanting,113,129
wedding,110,129
suicide,109,129
continue,107,129
returns,107,129
villains,101,129
candy,76,129
psychological,76,129
genuinely,76,129
plain,321,128
woods,178,128
attractive,159,128
absolute,153,128
answer,151,128
onto,141,128
lets,131,128
captain,129,128
don,122,128
introduced,110,128
media,105,128
tarzan,80,128
continues,78,128
rules,56,128
relate,53,128
cinderella,47,128
slasher,281,127
thrown,207,127
nobody,204,127
wow,203,127
shock,168,127
picked,147,127
shouldn't,140,127
build,136,127
drugs,134,127
gold,113,127
mid,111,127
12,97,127
conflict,88,127
kong,86,127
sports,65,127
hearted,54,127
satisfying,40,127
confused,162,126
shocking,133,126
roll,127,126
toward,111,126
european,98,126
mine,88,126
received,72,126
awards,71,126
pleasant,64,126
favorites,26,126
horrible,863,125
students,162,125
anymore,134,125
russian,122,125
knowledge,99,125
ladies,98,125
months,92,125
international,83,125
dated,77,125
breathtaking,18,125
o,128,124
soft,110,124
spanish,106,124
kate,105,124
visuals,79,124
learned,76,124
families,64,124
portrays,62,124
portraying,54,124
deliver,146,123
suspect,128,123
stephen,121,123
portray,96,123
handsome,57,123
trek,52,123
winner,50,123
walter,45,123
notch,35,123
gritty,31,123
stick,238,122
turning,159,122
dying,135,122
player,105,122
ball,101,122
wide,90,122
included,90,122
11,77,122
shop,75,122
rose,47,122
count,161,121
folks,155,121
jason,130,121
horse,113,121
vs,94,121
satire,83,121
fate,83,121
mrs,83,121
lewis,66,121
h,54,121
hey,191,120
noticed,102,120
luck,93,120
price,90,120
humorous,89,120
grew,76,120
anna,75,120
generation,63,120
hong,38,120
appreciated,28,120
extraordinary,23,120
barely,269,119
nasty,167,119
stuck,150,119
numerous,108,119
aware,102,119
bob,91,119
lucky,84,119
frame,79,119
study,76,119
meeting,62,119
steals,55,119
baseball,48,119
bourne,10,119
you'd,213,118
tired,195,118
grace,140,118
according,114,118
constant,112,118
results,103,118
sing,93,118
finale,92,118
travel,79,118
seat,72,118
gangster,72,118
roy,63,118
tend,49,118
chan,29,118
intelligence,163,117
religious,137,117
allow,131,117
gotten,114,117
arts,106,117
develop,95,117
grant,81,117
decade,73,117
drew,42,117
producers,251,116
naked,228,116
flicks,175,116
carry,145,116
quick,140,116
mental,130,116
desperate,127,116
energy,123,116
nick,100,116
loses,94,116
pair,87,116
lesson,85,116
clean,84,116
one's,83,116
sympathetic,72,116
luke,64,116
joseph,62,116
emma,38,116
channel,239,115
bottom,237,115
victims,186,115
wondering,175,115
lighting,171,115
angry,149,115
nightmare,135,115
issue,116,115
starting,110,115
officer,105,115
bigger,104,115
morning,97,115
loss,95,115
judge,89,115
current,87,115
opens,87,115
opposite,87,115
lynch,78,115
discovers,68,115
believes,64,115
fame,62,115
hoffman,23,115
plane,139,114
twenty,124,114
heroine,113,114
broken,106,114
breaking,69,114
individual,69,114
fits,65,114
influence,52,114
urban,43,114
crap,685,113
dull,541,113
